province_code,influenza,influenza_death,dengue_fever,dengue_fever_death,diarrhoea,diarrhoea_death,vaporation,rain,raining_day,temperature,humidity,sun_hour,date1,year,month
15,4334,0,0,0,827,0,49.5,10.7,3,16.5,86,133,1/15/1997,1997,1
15,4334,0,0,0,827,0,48.8,49.5,6,10.1,86,154,1/15/1997,1997,1
15,4334,0,0,0,827,0,69.1,35.9,4,13.6,81,168,1/15/1997,1997,1
15,4334,0,0,0,827,0,67.3,7.8,5,15.5,75,138,1/15/1997,1997,1
30,0,0,0,0,0,0,61.8,7.6,3,17.5,84,121,1/15/1997,1997,1
30,0,0,0,0,0,0,52.5,5.6,3,15.5,82,41,1/15/1997,1997,1
30,0,0,0,0,0,0,68.3,11.9,3,16.9,83,150,1/15/1997,1997,1
27,2001,0,0,0,722,0,59.1,16.2,5,17.3,84,128,1/15/1997,1997,1
27,2001,0,0,0,722,0,72.3,0,0,16.6,79,131,1/15/1997,1997,1
27,2001,0,0,0,722,0,91,1.4,1,15.5,80,149,1/15/1997,1997,1
27,2001,0,0,0,722,0,83.5,2.6,1,17.4,83,134,1/15/1997,1997,1
27,2001,0,0,0,722,0,63.3,8.6,2,15.1,81,128,1/15/1997,1997,1
27,2001,0,0,0,722,0,60.6,10.9,6,17.6,89,96,1/15/1997,1997,1
27,2001,0,0,0,722,0,50.2,16.8,8,13.1,77,130,1/15/1997,1997,1
27,2001,0,0,0,722,0,71.2,8.8,1,15.8,84,136,1/15/1997,1997,1
3,467,0,0,0,232,0,48.8,57.2,10,17.8,81,82,1/15/1997,1997,1
3,467,0,0,0,232,0,58.8,88.7,7,18.4,84,81,1/15/1997,1997,1
3,467,0,0,0,232,0,48.7,80.7,8,18.2,83,76,1/15/1997,1997,1
3,467,0,0,0,232,0,64.4,37.4,7,18.3,88,97,1/15/1997,1997,1
29,631,0,0,0,267,0,38.6,115.4,15,16.9,86,51,1/15/1997,1997,1
29,631,0,0,0,267,0,39.5,65.8,13,16.6,90,46,1/15/1997,1997,1
25,613,0,0,0,428,0,44.8,47.5,15,9.3,80,121,1/15/1997,1997,1
